AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
,No,,No,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,Street,,,,Yes,,,,,,Yes,,CA San_Francisco Chinatown,Unclaimed,77outof100,garden-bakery-san-francisco,37.7958865,-122.4077274,1.0,4.0,eastern-bakery-san-francisco,good-mong-kok-bakery-san-francisco,napoleon-super-bakery-san-francisco,94,Bakeries,Garden Bakery,https://www.yelp.com/biz/garden-bakery-san-francisco?osq=food
,No,No,Yes,,,,,,,Yes,,,Yes,,,Yes,,11:00 am - 10:00 pm,,,,,,,,,11:00 am - 10:00 pm,,,,,"Garage,Street,Validated",11:00 am - 10:00 pm,,11:00 am - 10:00 pm,Yes,,11:00 am - 10:00 pm,11:00 am - 10:00 pm,,11:00 am - 10:00 pm,Yes,Free,CA San_Francisco Chinatown,Claimed,,hanlin-tea-restaurant-san-francisco-2,37.7955462,-122.4052258,2.0,3.0,taste-of-formosa-san-francisco,good-earth-cafe-san-francisco-2,starbucks-san-francisco-95,126,TeaRooms,Hanlin Tea Restaurant,https://www.yelp.com/biz/hanlin-tea-restaurant-san-francisco-2?osq=food
,No,,Yes,,,,,,,No,,,,,,,,11:00 am - 7:00 pm,,,,,No,,,,11:00 am - 7:00 pm,,,,No,Street,11:00 am - 7:00 pm,,11:00 am - 7:00 pm,Yes,,11:00 am - 7:00 pm,11:00 am - 7:00 pm,,11:00 am - 7:00 pm,Yes,No,CA San_Francisco Chinatown,Claimed,98outof100,vital-tea-leaf-san-francisco-5,37.7916662,-122.4058581,2.0,4.5,red-blossom-tea-company-san-francisco,vital-tea-leaf-san-francisco,t-we-tea-san-francisco,67,"Coffee&Tea,TeaRooms",Vital Tea Leaf,https://www.yelp.com/biz/vital-tea-leaf-san-francisco-5?osq=food
,,,No,,,,,,,No,,,,,No,,,,,,,,No,,,,,,,,No,,,,,Yes,,,,,,,No,CA San_Francisco Chinatown,Unclaimed,88outof100,blossom-bakery-san-francisco,37.7946182,-122.4070843,1.0,4.0,good-mong-kok-bakery-san-francisco,eastern-bakery-san-francisco,napoleon-super-bakery-san-francisco,25,"Coffee&Tea,Bakeries",Blossom Bakery,https://www.yelp.com/biz/blossom-bakery-san-francisco?osq=food
,Yes,,Yes,,,,,,,Yes,,,Yes,,,,,7:00 am - 4:00 pm,,,,,No,,,,7:00 am - 4:00 pm,,,,Yes,Garage,Closed,,Closed,Yes,,7:00 am - 4:00 pm,7:00 am - 4:00 pm,,7:00 am - 4:00 pm,Yes,Free,CA San_Francisco Chinatown,Claimed,,hermanos-coffee-juice-san-francisco,37.7928096,-122.4052389,2.0,5.0,,,,10,"Coffee&Tea,JuiceBars&Smoothies",Hermanos Coffee + Juice,https://www.yelp.com/biz/hermanos-coffee-juice-san-francisco?osq=food
No,No,,No,,,,,,,Yes,,,,,,,,10:30 am - 7:00 pm,,,,,,,,,10:30 am - 7:00 pm,,,,,,10:30 am - 7:00 pm,,10:30 am - 7:00 pm,Yes,,10:30 am - 7:00 pm,10:30 am - 7:00 pm,,10:30 am - 7:00 pm,,,CA San_Francisco Chinatown,Unclaimed,84outof100,o-sweet-tea-san-francisco,37.7939482,-122.407188,1.0,3.5,,,,11,BubbleTea,O Sweet Tea,https://www.yelp.com/biz/o-sweet-tea-san-francisco?osq=food
,No,,No,,,,,,,Yes,,,,,,,,9:00 am - 6:30 pm,,,,,,,,,9:00 am - 6:30 pm,,,,,Street,9:00 am - 6:30 pm,,9:00 am - 6:30 pm,Yes,,9:00 am - 6:30 pm,9:00 am - 6:30 pm,,9:00 am - 6:30 pm,No,,CA San_Francisco Chinatown,Unclaimed,,ming-lee-trading-san-francisco,37.7959002,-122.4076764,1.0,4.5,nan-hai-corporation-san-francisco,mow-lee-shing-kee-and-company-san-francisco,richmond-new-may-wah-supermarket-san-francisco,42,Grocery,Ming Lee Trading,https://www.yelp.com/biz/ming-lee-trading-san-francisco?osq=food
,No,,Yes,,,,,,,No,,,,,,,,9:30 am - 5:30 pm,,,,,,,,,9:30 am - 5:30 pm,,,,,,9:30 am - 5:30 pm,,9:30 am - 5:30 pm,No,,9:30 am - 5:30 pm,Closed,,9:30 am - 5:30 pm,Yes,,CA San_Francisco Chinatown,Unclaimed,,hang-fung-tai-corporation-san-francisco,37.796686,-122.4066365,2.0,4.0,nan-hai-corporation-san-francisco,mow-lee-shing-kee-and-company-san-francisco,the-best-foods-produce-san-francisco,5,Grocery,Hang Fung Tai Corporation,https://www.yelp.com/biz/hang-fung-tai-corporation-san-francisco?osq=food
,No,,Yes,,,Beer&WineOnly,,Casual,,No,,,No,,No,,,10:00 am - 10:00 pm,"Lunch,Dinner",,Yes,Yes,,,,No,10:00 am - 10:00 pm,,Average,,Yes,Street,10:00 am - 10:00 pm,,10:00 am - 10:00 pm,Yes,No,10:00 am - 10:00 pm,10:00 am - 10:00 pm,Yes,10:00 am - 10:00 pm,No,No,CA San_Francisco Chinatown,Claimed,87outof100,chinatown-restaurant-san-francisco-5,37.7953852,-122.4059958,2.0,1.5,good-mong-kok-bakery-san-francisco,hong-kong-clay-pot-restaurant-san-francisco,new-lun-ting-cafe-san-francisco,495,Chinese,Chinatown Restaurant,https://www.yelp.com/biz/chinatown-restaurant-san-francisco-5?osq=food
,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,98outof100,rainbow-house-san-francisco,37.795425415,-122.408058167,1.0,4.5,nan-hai-corporation-san-francisco,mow-lee-shing-kee-and-company-san-francisco,market-mayflower-and-deli-san-francisco,2,Grocery,Rainbow House,https://www.yelp.com/biz/rainbow-house-san-francisco?osq=food
,,,,,,,,,,,,,,,,,,10:00 am - 6:00 pm,,,,,,,,,10:00 am - 6:00 pm,,,,,,10:00 am - 6:00 pm,,10:00 am - 6:00 pm,,,10:00 am - 6:00 pm,10:00 am - 6:00 pm,,10:00 am - 6:00 pm,,,CA San_Francisco Chinatown,Unclaimed,,tai-sang-company-san-francisco,37.7952031,-122.4081514,,5.0,mow-lee-shing-kee-and-company-san-francisco,nan-hai-corporation-san-francisco,j-and-w-market-san-francisco,1,Grocery,Tai Sang Company,https://www.yelp.com/biz/tai-sang-company-san-francisco?osq=food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,ivys-food-company-san-francisco,37.7970316,-122.408308,3.0,3.5,nan-hai-corporation-san-francisco,davids-food-store-san-francisco,ming-lee-trading-san-francisco,2,"Grocery,ImportedFood",Ivy’s Food Company,https://www.yelp.com/biz/ivys-food-company-san-francisco?osq=food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,franks-seafood-market-san-francisco,37.7941904,-122.4059226,1.0,3.0,seafood-center-san-francisco,franchino-san-francisco,scomas-restaurant-san-francisco-3,1,SeafoodMarkets,Frank’s Seafood Market,https://www.yelp.com/biz/franks-seafood-market-san-francisco?osq=food
,,,Yes,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,dim-sum-and-bakery-san-francisco,37.7959811,-122.4072838,1.0,4.0,eastern-bakery-san-francisco,good-mong-kok-bakery-san-francisco,good-luck-dim-sum-san-francisco,4,Bakeries,Dim Sum & Bakery,https://www.yelp.com/biz/dim-sum-and-bakery-san-francisco?osq=food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,CA San_Francisco Chinatown,Unclaimed,82outof100,chung-chou-city-san-francisco-3,37.79724,-122.408251,,5.0,nan-hai-corporation-san-francisco,chung-chou-city-san-francisco-3,,3,ImportedFood,Chung Chou City,https://www.yelp.com/biz/chung-chou-city-san-francisco-3?osq=food
,,,,,,,,,,,,,,,,,,8:00 am - 6:30 pm,,,,,,,,,8:00 am - 6:30 pm,,,,,,8:00 am - 6:30 pm,,8:00 am - 6:30 pm,,,8:00 am - 6:30 pm,8:00 am - 6:30 pm,,8:00 am - 6:30 pm,,,CA San_Francisco Chinatown,Unclaimed,,produce-land-san-francisco,37.7941892,-122.4059417,1.0,5.0,nan-hai-corporation-san-francisco,mow-lee-shing-kee-and-company-san-francisco,davids-food-store-san-francisco,2,Grocery,Produce Land,https://www.yelp.com/biz/produce-land-san-francisco?osq=food
,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Street,,,,,,,,,,No,,CA San_Francisco Chinatown,Unclaimed,,the-best-foods-produce-san-francisco,37.7975063,-122.408594,1.0,4.0,nan-hai-corporation-san-francisco,mow-lee-shing-kee-and-company-san-francisco,s-and-s-grocery-san-francisco,8,Grocery,The Best Foods Produce,https://www.yelp.com/biz/the-best-foods-produce-san-francisco?osq=food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,CA San_Francisco Chinatown,Unclaimed,82outof100,man-sung-market-san-francisco,37.7971446,-122.4067966,1.0,4.0,mow-lee-shing-kee-and-company-san-francisco,ming-kee-game-birds-san-francisco,sun-sang-market-san-francisco,3,MeatShops,Man Sung Market,https://www.yelp.com/biz/man-sung-market-san-francisco?osq=food
,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,Street,,,,,,,,,,Yes,,CA San_Francisco Chinatown,Unclaimed,,sheng-hing-market-san-francisco,37.7960449,-122.4086156,1.0,4.0,ferry-plaza-farmers-market-san-francisco,heart-of-the-city-farmers-market-san-francisco,san-francisco-farmers-market-at-crocker-galleria-san-francisco,8,FarmersMarket,Sheng Hing Market,https://www.yelp.com/biz/sheng-hing-market-san-francisco?osq=food
,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,world-ginseng-center-san-francisco,37.795598,-122.405338,2.0,4.0,superior-trading-company-san-francisco,boushing-ginseng-and-tea-san-francisco,whole-foods-market-soma-san-francisco,1,HealthMarkets,World Ginseng Center,https://www.yelp.com/biz/world-ginseng-center-san-francisco?osq=food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,65outof100,little-paradise-candy-store-san-francisco,37.7959755,-122.4084725,,4.0,sweet-mart-san-francisco,knudsens-ice-creamery-castro-valley,sweet-shop-los-altos,1,SpecialtyFood,Little Paradise Candy Store,https://www.yelp.com/biz/little-paradise-candy-store-san-francisco?osq=food
,Yes,,Yes,,,,,,,No,,,,,,,,6:00 am - 4:00 pm,,,,,No,,,,6:00 am - 4:00 pm,,,,Yes,Garage,Closed,,Closed,Yes,,6:00 am - 4:00 pm,6:00 am - 4:00 pm,,6:00 am - 4:00 pm,Yes,No,CA San_Francisco Chinatown,Claimed,96outof100,coffee-bar-san-francisco-4,37.7921426,-122.4047029,2.0,4.0,sutter-cafe-san-francisco,caffe-cento-san-francisco,peets-coffee-san-francisco-25,60,Coffee&Tea,Coffee Bar,https://www.yelp.com/biz/coffee-bar-san-francisco-4?osq=food
,,,No,,,,,,,,,,,,,,,8:00 am - 7:00 pm,,,,,,,,,8:00 am - 7:00 pm,,,,,,8:00 am - 7:00 pm,,8:00 am - 7:00 pm,,,8:00 am - 7:00 pm,8:00 am - 7:00 pm,,8:00 am - 7:00 pm,,,CA San_Francisco Chinatown,Claimed,,long-huas-grocery-store-san-francisco,37.7941637,-122.407945,1.0,5.0,tai-sang-company-san-francisco,mow-lee-shing-kee-and-company-san-francisco,ming-lee-trading-san-francisco,1,Grocery,Long Hua’s Grocery Store,https://www.yelp.com/biz/long-huas-grocery-store-san-francisco?osq=food
,,,Yes,,,No,,Casual,,No,,,No,,No,,,,,,Yes,No,,,,No,,,VeryLoud,,No,,,,,Yes,No,,,No,,No,No,CA San_Francisco Chinatown,Unclaimed,88outof100,fruit-city-san-francisco,37.7970345,-122.4082571,1.0,4.0,good-mong-kok-bakery-san-francisco,nan-hai-corporation-san-francisco,mow-lee-shing-kee-and-company-san-francisco,6,"Restaurants,Grocery",Fruit City,https://www.yelp.com/biz/fruit-city-san-francisco?osq=food
,No,,Yes,,,No,Casual,Casual,,Yes,,,No,,No,,,10:00 am - 8:00 pm,Lunch,,Yes,Yes,,,,Yes,10:00 am - 8:00 pm,,Average,,No,Garage,10:00 am - 8:00 pm,,10:00 am - 8:00 pm,Yes,No,10:00 am - 8:00 pm,10:00 am - 8:00 pm,Yes,10:00 am - 8:00 pm,,Free,CA San_Francisco Chinatown,Claimed,86outof100,joy-hing-bar-b-que-noodle-san-francisco-2,37.7946837,-122.404839,2.0,3.5,garden-restaurant-san-francisco,golden-star-vietnamese-restaurant-san-francisco,golden-king-vietnamese-restaurant-san-francisco,89,"Barbeque,Chinese,Noodles",Joy Hing Bar-B-Que Noodle,https://www.yelp.com/biz/joy-hing-bar-b-que-noodle-san-francisco-2?osq=food
No,No,No,No,,,No,Casual,Casual,,No,,,Yes,,No,No,,10:00 am - 8:00 pm,Lunch,,Yes,Yes,,,,No,10:00 am - 8:00 pm,,Average,,No,Street,10:00 am - 8:00 pm,,10:00 am - 8:00 pm,Yes,No,10:00 am - 8:00 pm,10:00 am - 8:00 pm,Yes,10:00 am - 8:00 pm,No,Free,CA San_Francisco Chinatown,Claimed,79outof100,golden-king-vietnamese-restaurant-san-francisco,37.7941936,-122.4057817,1.0,3.5,kim-thanh-restaurant-san-francisco,pho-tan-hoa-san-francisco,golden-star-vietnamese-restaurant-san-francisco,189,Vietnamese,Golden King Vietnamese Restaurant,https://www.yelp.com/biz/golden-king-vietnamese-restaurant-san-francisco?osq=food
No,,,No,,,No,Casual,Casual,,Yes,,,Yes,,No,,,7:00 am - 6:30 pm,Breakfast,,No,No,,,,No,7:00 am - 6:30 pm,,Average,,No,Street,7:00 am - 6:30 pm,,7:00 am - 6:30 pm,Yes,No,7:00 am - 6:30 pm,7:00 am - 6:30 pm,No,7:00 am - 6:30 pm,No,No,CA San_Francisco Chinatown,Unclaimed,92outof100,gourmet-kitchen-san-francisco,37.7955541,-122.40844,1.0,3.5,good-mong-kok-bakery-san-francisco,delicious-dim-sum-san-francisco,kam-po-kitchen-san-francisco,54,Chinese,Gourmet Kitchen,https://www.yelp.com/biz/gourmet-kitchen-san-francisco?osq=food
,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,gum-wing-lee-san-francisco,37.7941975,-122.4080863,,3.5,liquor-and-deli-on-union-square-san-francisco,broadway-cigars-and-liquors-san-francisco,broadway-liquors-san-francisco,6,"Beer,Wine&Spirits",Gum Wing Lee,https://www.yelp.com/biz/gum-wing-lee-san-francisco?osq=food
,,,Yes,,,Beer&WineOnly,Touristy,Casual,,No,,,No,,No,,,,Lunch,,Yes,Yes,,,,No,,,Loud,,No,Street,,,,Yes,No,,,No,,Yes,No,CA San_Francisco Chinatown,Unclaimed,72outof100,chinatown-food-court-san-francisco,37.792614,-122.406189,1.0,1.5,good-mong-kok-bakery-san-francisco,capital-restaurant-san-francisco,new-fortune-dim-sum-and-coffee-shop-san-francisco,53,Chinese,Chinatown Food Court,https://www.yelp.com/biz/chinatown-food-court-san-francisco?osq=food
,No,,Yes,,,No,Casual,Casual,,Yes,,,Yes,,Yes,,,9:00 am - 8:00 pm,Lunch,,No,Yes,,,,No,9:00 am - 8:00 pm,,Average,,No,Street,Closed,,Closed,Yes,No,9:00 am - 8:00 pm,9:00 am - 8:00 pm,No,9:00 am - 8:00 pm,Yes,,CA San_Francisco Chinatown,Claimed,75outof100,pasilla-mexican-grill-san-francisco,37.7913687,-122.4042145,1.0,3.5,taqueria-mana-san-francisco,tlaloc-sabor-mexicano-san-francisco-2,caramba-san-francisco,214,Mexican,Pasilla Mexican Grill,https://www.yelp.com/biz/pasilla-mexican-grill-san-francisco?osq=food
,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,liangs-seafood-san-francisco,37.7969213,-122.4085105,,5.0,kim-thanh-restaurant-san-francisco,hog-island-oyster-co-san-francisco,great-eastern-restaurant-san-francisco,1,Seafood,Liang’s Seafood,https://www.yelp.com/biz/liangs-seafood-san-francisco?osq=food
,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,wang-chung-company-san-francisco-2,37.7951126099,-122.40713501,1.0,4.0,nan-hai-corporation-san-francisco,mow-lee-shing-kee-and-company-san-francisco,j-and-w-market-san-francisco,5,"Grocery,ImportedFood",Wang Chung Company,https://www.yelp.com/biz/wang-chung-company-san-francisco-2?osq=food
,No,,Yes,,,Beer&WineOnly,Casual,Casual,,No,,,No,,Yes,,,10:00 am - 9:00 pm,Lunch,,Yes,Yes,,,,No,10:00 am - 9:00 pm,,Average,,No,Street,11:00 am - 9:00 pm,,Closed,Yes,No,10:00 am - 9:00 pm,10:00 am - 9:00 pm,Yes,10:00 am - 9:00 pm,Yes,No,CA San_Francisco Chinatown,Unclaimed,76outof100,youngs-cafe-san-francisco,37.7936534,-122.4047986,1.0,3.5,good-mong-kok-bakery-san-francisco,capital-restaurant-san-francisco,yans-kitchen-san-francisco,94,Chinese,Young’s Cafe,https://www.yelp.com/biz/youngs-cafe-san-francisco?osq=food
,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,gum-sing-market-san-francisco,37.7967592,-122.4082165,1.0,4.0,nan-hai-corporation-san-francisco,mow-lee-shing-kee-and-company-san-francisco,j-and-w-market-san-francisco,3,Grocery,Gum Sing Market,https://www.yelp.com/biz/gum-sing-market-san-francisco?osq=food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,mings-poultry-san-francisco,37.7973937,-122.4068628,,4.0,golden-gate-meat-company-san-francisco,mow-lee-shing-kee-and-company-san-francisco,sun-sang-market-san-francisco,2,SpecialtyFood,Mings Poultry,https://www.yelp.com/biz/mings-poultry-san-francisco?osq=food
,,,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,CA San_Francisco Chinatown,Unclaimed,100outof100,san-francisco-poultry-2-san-francisco,37.7967038,-122.4084642,1.0,4.5,neverending-quails-san-francisco,ming-kee-game-birds-san-francisco,little-city-market-san-francisco,2,Butcher,San Francisco Poultry 2,https://www.yelp.com/biz/san-francisco-poultry-2-san-francisco?osq=food
,No,,Yes,,,Beer&WineOnly,,Casual,,Yes,,,Yes,,Yes,,,11:00 am - 11:00 pm,"Lunch,Dinner",,Yes,Yes,,,,Yes,11:00 am - 10:00 pm,,Average,,Yes,Street,11:00 am - 11:00 pm,,11:00 am - 10:00 pm,Yes,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,Yes,11:00 am - 10:00 pm,Yes,Free,CA San_Francisco Chinatown,Claimed,87outof100,little-szechuan-san-francisco,37.7980089,-122.4055694,2.0,3.5,hunan-homes-restaurant-san-francisco,z-and-y-restaurant-san-francisco-3,elaines-kitchen-san-francisco-3,327,"Szechuan,Cantonese",Little Szechuan,https://www.yelp.com/biz/little-szechuan-san-francisco?osq=food
,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,vegiland-market-san-francisco,37.7956818,-122.408263,1.0,2.0,murphys-tree-service-san-francisco,nite-cap-bar-san-francisco-2,suber-limo-service-san-francisco,1,"Fruits&Veggies,ImportedFood",Vegiland Market,https://www.yelp.com/biz/vegiland-market-san-francisco?osq=food
,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,wai-kin-produce-san-francisco,37.7941587,-122.4059445,1.0,4.5,frog-hollow-farm-market-and-cafe-san-francisco,heart-of-the-city-farmers-market-san-francisco,golden-produce-san-francisco,6,Fruits&Veggies,Wai Kin Produce,https://www.yelp.com/biz/wai-kin-produce-san-francisco?osq=food
No,No,,No,,,,,,,No,,,,,,,,,,,,,No,,,,,,,,No,,,,,Yes,,,,,,,Free,CA San_Francisco Chinatown,Unclaimed,81outof100,chatown-san-francisco,37.7955305,-122.4097245,1.0,3.0,ten-rens-tea-san-francisco,icafe-san-francisco-san-francisco-2,cool-tea-bar-san-francisco-4,22,"BubbleTea,Coffee&Tea",Chatown,https://www.yelp.com/biz/chatown-san-francisco?osq=food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,CA San_Francisco Chinatown,Unclaimed,84outof100,pacific-street-seafood-san-francisco,37.7966432944,-122.40861662,,4.0,hog-island-oyster-co-san-francisco,anchor-oyster-bar-san-francisco,swan-oyster-depot-san-francisco,1,Seafood,Pacific Street Seafood,https://www.yelp.com/biz/pacific-street-seafood-san-francisco?osq=food
,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,90outof100,liangs-food-san-francisco,37.7963661,-122.4086205,2.0,3.5,seafood-center-san-francisco,m-and-p-seafood-market-san-francisco,luen-fat-market-san-francisco,3,SeafoodMarkets,Liang’s Food,https://www.yelp.com/biz/liangs-food-san-francisco?osq=food
,No,,Yes,,,Beer&WineOnly,Casual,Casual,,No,,,No,,No,,,8:30 am - 10:00 pm,Lunch,,Yes,Yes,,,,Yes,8:30 am - 10:00 pm,,Average,,No,Street,8:30 am - 10:00 pm,,8:30 am - 10:00 pm,Yes,No,8:30 am - 10:00 pm,8:30 am - 10:00 pm,Yes,8:30 am - 10:00 pm,Yes,No,CA San_Francisco Chinatown,Unclaimed,83outof100,imperial-palace-san-francisco-3,37.7952777,-122.4068372,2.0,2.0,good-mong-kok-bakery-san-francisco,delicious-dim-sum-san-francisco,hang-ah-tea-room-san-francisco,297,"DimSum,Cantonese,Seafood",Imperial Palace,https://www.yelp.com/biz/imperial-palace-san-francisco-3?osq=food
,,,No,,,No,Casual,Casual,,No,,,No,,No,,,,Lunch,,No,No,,,,No,,,Average,,No,,,,,Yes,No,,,No,,,No,CA San_Francisco Chinatown,Unclaimed,90outof100,duk-hing-chinese-deli-and-meat-san-francisco,37.7964561,-122.4085243,2.0,3.5,good-mong-kok-bakery-san-francisco,new-moon-san-francisco,yees-restaurant-san-francisco,11,"Delis,Chinese",Duk Hing Chinese Deli & Meat,https://www.yelp.com/biz/duk-hing-chinese-deli-and-meat-san-francisco?osq=food
,No,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,komi-food-san-francisco,37.7940152539,-122.407860495,1.0,4.0,musashi-berkeley,kirala-japanese-restaurant-berkeley,angelines-louisiana-kitchen-berkeley,1,"ConvenienceStores,InternationalGrocery",Komi Food,https://www.yelp.com/biz/komi-food-san-francisco?osq=food
,Yes,,Yes,,,Beer&WineOnly,Casual,Casual,,Yes,,,Yes,,Yes,,,10:00 am - 11:30 pm,Lunch,,Yes,Yes,,,,No,10:00 am - 11:00 pm,,Quiet,,No,Street,10:00 am - 11:30 pm,,10:00 am - 11:00 pm,Yes,Yes,10:00 am - 11:00 pm,10:00 am - 11:00 pm,Yes,10:00 am - 11:00 pm,Yes,No,CA San_Francisco Chinatown,Claimed,85outof100,tandoori-mahal-san-francisco-2,37.7966798,-122.4054378,2.0,3.0,little-delhi-san-francisco,amber-india-san-francisco-2,urban-curry-restaurant-san-francisco,232,"Indian,Buffets,Pakistani",Tandoori Mahal,https://www.yelp.com/biz/tandoori-mahal-san-francisco-2?osq=food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,original-first-cup-san-francisco,37.7928096,-122.4052389,,5.0,new-moon-san-francisco,good-luck-cafe-and-deli-san-francisco,henrys-cafe-and-deli-san-francisco-2,1,Delis,Original First Cup,https://www.yelp.com/biz/original-first-cup-san-francisco?osq=food
No,No,,No,,,,,,,Yes,,,No,,No,,,7:00 am - 7:00 pm,,,,,,,,,7:00 am - 7:00 pm,,,,,Street,7:00 am - 7:00 pm,,7:00 am - 7:00 pm,Yes,,7:00 am - 7:00 pm,7:00 am - 7:00 pm,,7:00 am - 7:00 pm,Yes,,CA San_Francisco Chinatown,Claimed,94outof100,yummy-bakery-and-cafe-san-francisco,37.7960317,-122.4054409,1.0,3.5,eastern-bakery-san-francisco,good-mong-kok-bakery-san-francisco,napoleon-super-bakery-san-francisco,112,Bakeries,Yummy Bakery and Cafe,https://www.yelp.com/biz/yummy-bakery-and-cafe-san-francisco?osq=food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA San_Francisco Chinatown,Unclaimed,,wonkow-food-products-san-francisco,37.793524,-122.407562,,,maiwand-market-fremont,trader-joes-pleasanton-2,the-milk-pail-market-mountain-view,,,Wonkow Food Products,https://www.yelp.com/biz/wonkow-food-products-san-francisco?osq=food
,,,Yes,,,Beer&WineOnly,,Casual,,No,,,No,,No,,,11:00 am - 10:30 pm,Lunch,,Yes,Yes,,,,No,11:00 am - 10:30 pm,,Average,,No,Street,11:00 am - 10:30 pm,,11:00 am - 10:30 pm,Yes,No,11:00 am - 10:30 pm,11:00 am - 10:30 pm,Yes,11:00 am - 10:30 pm,No,No,CA San_Francisco Chinatown,Unclaimed,78outof100,bow-hon-restaurant-san-francisco,37.7949623,-122.4062825,2.0,3.0,good-mong-kok-bakery-san-francisco,hong-kong-clay-pot-restaurant-san-francisco,delicious-dim-sum-san-francisco,132,Chinese,Bow Hon Restaurant,https://www.yelp.com/biz/bow-hon-restaurant-san-francisco?osq=food
,,,No,,,,,,,,,,,,,,,9:00 am - 5:00 pm,,,,,,,,,9:00 am - 5:00 pm,,,,,,9:00 am - 5:00 pm,,9:00 am - 5:00 pm,,,9:00 am - 5:00 pm,9:00 am - 5:00 pm,,Closed,,,CA San_Francisco Chinatown,Unclaimed,,great-china-herb-san-francisco,37.7949211,-122.4075422,1.0,5.0,grand-century-enterprise-san-francisco,hop-hing-ginseng-company-san-francisco,huimin-herb-san-francisco-2,11,Herbs&Spices,Great China Herb,https://www.yelp.com/biz/great-china-herb-san-francisco?osq=food
,,,No,,,,,,,,,,,,,,,11:00 am - 7:30 pm,,,,,,,,,11:00 am - 7:30 pm,,,,No,,11:00 am - 7:30 pm,,11:00 am - 7:30 pm,,,11:00 am - 7:30 pm,11:00 am - 7:30 pm,,11:00 am - 7:30 pm,,,CA San_Francisco Chinatown,Unclaimed,,3-3-snack-bar-cafe-san-francisco-2,37.7944463414,-122.406920362,1.0,3.0,garden-table-san-francisco,lazy-bear-san-francisco-5,mani-pedi-san-francisco-2,1,Coffee&Tea,3.3 Snack bar Cafe,https://www.yelp.com/biz/3-3-snack-bar-cafe-san-francisco-2?osq=food
