,AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AgesAllowed,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GenderNeutralRestrooms,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
10,,,,,,,,,,,,,,,,,,8:00 am - 10:00 pm,,,,,,,,,,8:00 am - 10:00 pm,,,,,,8:00 am - 10:00 pm,,8:00 am - 10:00 pm,,,8:00 am - 10:00 pm,8:00 am - 10:00 pm,,8:00 am - 10:00 pm,,,MI Detroit Bagley,Claimed,,rite-aid-detroit-10,42.432159,-83.160669,,,cvs-pharmacy-detroit-5,cvs-pharmacy-detroit-38,,,,Rite Aid,https://www.yelp.com/biz/rite-aid-detroit-10?osq=food
12,,,,,,,,,,,,,Yes,,,,,10:30 am - 11:00 pm,,,,,,,,,,10:30 am - 10:00 pm,,,,,,10:30 am - 11:00 pm,,11:00 am - 10:00 pm,,,10:30 am - 11:00 pm,10:30 am - 10:00 pm,,10:30 am - 10:00 pm,,Free,MI Detroit Bagley,Claimed,,kfc-detroit-17,42.4312,-83.1599,,,lees-famous-recipe-chicken-plymouth,white-castle-detroit-8,chicken-shack-royal-oak,,,KFC,https://www.yelp.com/biz/kfc-detroit-17?osq=food
13,,,,Yes,,,,,,,,,,,,,,9:00 am - 2:00 am,,,,,,,,,,9:00 am - 2:00 am,,,,,,9:00 am - 2:00 am,,9:00 am - 2:00 am,,,9:00 am - 2:00 am,9:00 am - 2:00 am,,9:00 am - 2:00 am,Yes,,MI Detroit Bagley,Unclaimed,,tradewinds-liquor-and-wine-shop-detroit,42.421073,-83.141321,Moderate,4.5,merchants-fine-wine-dearborn,forest-liquor-detroit,cost-plus-wine-detroit,3,"Beer,Wine&Spirits",Tradewinds Liquor & Wine Shop,https://www.yelp.com/biz/tradewinds-liquor-and-wine-shop-detroit?osq=food
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,diamite-products-detroit,42.424472,-83.151053,,,zerbos-health-foods-supermarket-livonia,natural-food-patch-ferndale,sprout-house-and-macrobiotics-grosse-pointe-park,,,Diamite Products,https://www.yelp.com/biz/diamite-products-detroit?osq=food
15,,No,,Yes,,No,,Casual,,,,,,,Yes,,,,,,,No,,,,,No,,,Loud,,,,,,,Yes,No,,,No,,,,MI Detroit Bagley,Unclaimed,,papas-pizza-and-bbq-detroit,42.4315236,-83.1460683,Moderate,2.0,pizza-connection-hazel-park,amiccis-pizza-hamtramck,woodward-avenue-brewers-ferndale,5,"Pizza,Barbeque",Papa’s Pizza & Bbq,https://www.yelp.com/biz/papas-pizza-and-bbq-detroit?osq=food
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,super-8-food-market-detroit,42.4457292,-83.1574074,,,,,,,,Super-8 Food Market,https://www.yelp.com/biz/super-8-food-market-detroit?osq=food
18,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,toms-liquor-palace-detroit,42.4414491,-83.141618,Pricey,3.0,majestic-market-southfield,state-fair-supermarket-ferndale,kens-market-ferndale,3,"Beer,Wine&Spirits",Tom’s Liquor Palace,https://www.yelp.com/biz/toms-liquor-palace-detroit?osq=food
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,super-fair-market-detroit,42.4315706,-83.1426566,,,,,,,,Super Fair Market,https://www.yelp.com/biz/super-fair-market-detroit?osq=food
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,als-party-store-detroit,42.4282953,-83.1415788,,,,,,,,Al’s Party Store,https://www.yelp.com/biz/als-party-store-detroit?osq=food
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,goodeez-etc-detroit,42.4263956,-83.1608101,,,,,,,,Goodeez Etc,https://www.yelp.com/biz/goodeez-etc-detroit?osq=food
