,AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AgesAllowed,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GenderNeutralRestrooms,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
281,No,Yes,,Yes,,FullBar,Casual,Casual,,No,,,Yes,,No,,,11:00 am - 11:00 pm,,Dinner,,Yes,Yes,,,,Yes,11:00 am - 10:00 pm,,Average,,No,PrivateLot,11:00 am - 11:00 pm,,11:00 am - 10:00 pm,Yes,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,Yes,11:00 am - 10:00 pm,No,No,MI Detroit Downriver,Claimed,,red-lobster-southgate,42.1988423,-83.194323,Moderate,3.0,boston-market-dearborn,sibley-gardens-trenton,old-chicago-southgate,21,"Seafood,American(Traditional)",Red Lobster,https://www.yelp.com/biz/red-lobster-southgate?osq=food
282,,,,No,,No,,Casual,,Yes,,,,,No,,,6:00 am - 11:00 pm,,,,Yes,Yes,,,,,6:00 am - 11:00 pm,,Average,,,,6:00 am - 11:00 pm,,6:00 am - 11:00 pm,Yes,No,6:00 am - 11:00 pm,6:00 am - 11:00 pm,,6:00 am - 11:00 pm,,,MI Detroit Downriver,Unclaimed,,grand-port-cafe-ecorse,42.2413101196289,-83.1445846557617,Inexpensive,4.5,the-songbird-cafe-ann-arbor,oakwood-cafe-melvindale,bella-cafe-grosse-pointe-farms,4,Cafes,Grand Port Cafe,https://www.yelp.com/biz/grand-port-cafe-ecorse?osq=food
283,,,,Yes,,,,Casual,,Yes,,,,,No,,,11:00 am - 9:00 pm,,,,Yes,Yes,,,,No,11:00 am - 9:00 pm,,,,,,11:00 am - 9:00 pm,,Closed,Yes,No,11:00 am - 9:00 pm,11:00 am - 9:00 pm,,11:00 am - 9:00 pm,,,MI Detroit Downriver,Claimed,,si-se%C3%B1or-riverview,42.155718,-83.2111388,Inexpensive,4.5,,,,9,Mexican,Si Señor,https://www.yelp.com/biz/si-se%C3%B1or-riverview?osq=food
284,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,No,,,,MI Detroit Downriver,Unclaimed,,subway-trenton-15,42.1266558,-83.2048087,,4.0,jersey-giant-submarine-woodhaven,peepos-subs-and-shawarma-taylor,taza-fresh-grill-southgate,1,"Sandwiches,FastFood",Subway,https://www.yelp.com/biz/subway-trenton-15?osq=food
285,,,,Yes,,FullBar,Divey,Casual,,Yes,,,No,,No,,,,,,,Yes,No,,,,Yes,,,Average,,No,,,,,Yes,No,,,Yes,,,Free,MI Detroit Downriver,Unclaimed,,chesleys-lincoln-park,42.230944,-83.1800542,Inexpensive,4.5,smokies-tavern-wyandotte,ramseys-coney-island-southgate,fort-street-brewery-lincoln-park,10,American(Traditional),Chesley’s,https://www.yelp.com/biz/chesleys-lincoln-park?osq=food
286,,,,Yes,,,,Casual,,Yes,,,,,Yes,,,,,,,Yes,Yes,,,,Yes,,,Quiet,,No,,,,,Yes,Yes,,,,,,No,MI Detroit Downriver,Unclaimed,,dels-pizzeria-and-restaurant-trenton,42.140295,-83.1777133,Inexpensive,3.5,franks-pizzeria-and-restaurant-wyandotte,sportmans-pizzeria-wyandotte,riverview-pizza-place-riverview,12,Pizza,Del’s Pizzeria & Restaurant,https://www.yelp.com/biz/dels-pizzeria-and-restaurant-trenton?osq=food
287,,,,Yes,,No,,Casual,,,,,,,No,,Yes,Open 24 hours,,,,Yes,Yes,,,,No,Open 24 hours,,,,No,,Open 24 hours,,Open 24 hours,Yes,No,Open 24 hours,Open 24 hours,,Open 24 hours,,,MI Detroit Downriver,Claimed,,white-castle-taylor-2,42.2114722,-83.2695076,Inexpensive,2.5,park-restaurant-lincoln-park,blue-sky-ice-cream-and-hamburger-romulus,brays-hamburgers-westland,5,"FastFood,Burgers",White Castle,https://www.yelp.com/biz/white-castle-taylor-2?osq=food
288,,,,Yes,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,Yes,No,,,,,,,MI Detroit Downriver,Unclaimed,,dynasty-flat-rock,42.136842,-83.2670394,Inexpensive,3.5,china-house-flat-rock,asia-express-new-boston,kwans-chop-suey-trenton,6,Restaurants,Dynasty,https://www.yelp.com/biz/dynasty-flat-rock?osq=food
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Downriver,Unclaimed,,crystal-market-southgate,42.1991299,-83.221585,,4.5,kroger-food-and-pharmacy-grosse-ile,the-market-romulus,saveland-supermarket-taylor,3,Grocery,Crystal Market,https://www.yelp.com/biz/crystal-market-southgate?osq=food
290,,,,Yes,,No,,Casual,,Yes,,,No,,No,,,6:00 am - 10:00 pm,,Breakfast,,Yes,Yes,,,,Yes,6:00 am - 10:00 pm,,Average,,No,,7:00 am - 10:00 pm,,7:00 am - 10:00 pm,Yes,No,6:00 am - 10:00 pm,6:00 am - 10:00 pm,Yes,6:00 am - 10:00 pm,Yes,No,MI Detroit Downriver,Claimed,,heritage-coney-island-taylor,42.2117894,-83.2539033,Inexpensive,4.5,photo-sensei-detroit-2,warren-bakery-and-market-detroit,top-of-the-pontch-detroit,6,Diners,Heritage Coney Island,https://www.yelp.com/biz/heritage-coney-island-taylor?osq=food
291,,,,Yes,,No,,Casual,,Yes,,,No,,No,,,Open 24 hours,,"Breakfast,Dessert",,Yes,Yes,,,,No,Open 24 hours,,VeryLoud,,No,PrivateLot,Open 24 hours,,Open 24 hours,Yes,No,Open 24 hours,Open 24 hours,Yes,Open 24 hours,Yes,Free,MI Detroit Downriver,Claimed,,dennys-taylor,42.1977770291895,-83.2356123626232,Inexpensive,3.0,dearborn-coney-island-restaurant-dearborn,bob-evans-taylor,hooters-taylor,23,"Breakfast&Brunch,American(Traditional),Diners",Denny’s,https://www.yelp.com/biz/dennys-taylor?osq=food
292,,,,Yes,,No,,Casual,,Yes,,,No,,No,,,Open 24 hours,,,,Yes,Yes,,,,No,Open 24 hours,,Average,,No,PrivateLot,Open 24 hours,,Open 24 hours,Yes,No,Open 24 hours,Open 24 hours,Yes,Open 24 hours,Yes,No,MI Detroit Downriver,Claimed,,rams-horn-taylor-2,42.2107796,-83.269085,Moderate,2.5,wing-hong-restaurant-southfield,quickie-burger-bar-and-grill-ann-arbor,,14,American(Traditional),Ram’s Horn,https://www.yelp.com/biz/rams-horn-taylor-2?osq=food
297,,,,Yes,,No,,Casual,,,,,No,,No,,Yes,,,,,Yes,Yes,,,,,,,Loud,,No,,,,,Yes,No,,,No,,,Free,MI Detroit Downriver,Unclaimed,,mcdonalds-southgate-2,42.1986149,-83.2047259,Inexpensive,1.0,,,,1,"FastFood,Burgers",McDonald’s,https://www.yelp.com/biz/mcdonalds-southgate-2?osq=food
298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Downriver,Unclaimed,,cold-stone-creamery-woodhaven,42.1479349,-83.227389,,5.0,,,,1,IceCream&FrozenYogurt,Cold Stone Creamery,https://www.yelp.com/biz/cold-stone-creamery-woodhaven?osq=food
299,No,No,No,No,,No,Casual,Casual,,Yes,,,Yes,,No,No,,11:00 am - 8:00 pm,,"Lunch,Dinner,Dessert",,No,Yes,,,,Yes,Closed,,Quiet,,No,Street,11:00 am - 8:00 pm,,Closed,Yes,No,11:00 am - 8:00 pm,11:00 am - 8:00 pm,Yes,11:00 am - 8:00 pm,No,No,MI Detroit Downriver,Claimed,,the-little-pierogi-and-crepe-kitchen-wyandotte,42.2031375,-83.1507035,Inexpensive,4.0,polonus-restaurant-wyandotte,savannahs-trenton,angelinas-mexican-restaurant-wyandotte,31,"Cafes,Polish,Creperies",The Little Pierogi & Crepe Kitchen,https://www.yelp.com/biz/the-little-pierogi-and-crepe-kitchen-wyandotte?osq=food
300,,,,Yes,,No,Hipster,Casual,,Yes,,,,,No,,,11:00 am - 10:00 pm,,"Dinner,LateNight,Dessert",,Yes,Yes,,,,No,11:00 am - 10:00 pm,,Average,,Yes,,11:00 am - 10:00 pm,,11:00 am - 9:00 pm,Yes,No,11:00 am - 10:00 pm,11:00 am - 10:00 pm,No,11:00 am - 10:00 pm,,,MI Detroit Downriver,Unclaimed,,dangerously-delicious-pies-wyandotte-2,42.2039917588225,-83.1486226245761,Inexpensive,4.0,pias-ristorante-taylor,portofino-wyandotte,third-street-bar-detroit,20,ComfortFood,Dangerously Delicious Pies,https://www.yelp.com/biz/dangerously-delicious-pies-wyandotte-2?osq=food
301,,,,Yes,,No,Casual,Casual,,No,,,Yes,,Yes,,,10:00 am - 11:00 pm,,"Lunch,Dinner",,Yes,Yes,,,,No,10:00 am - 10:00 pm,,Average,,No,PrivateLot,1:00 pm - 11:00 pm,,1:00 pm - 9:00 pm,Yes,No,10:00 am - 10:00 pm,10:00 am - 10:00 pm,Yes,10:00 am - 10:00 pm,Yes,No,MI Detroit Downriver,Unclaimed,,manuels-taco-hut-allen-park,42.2569649,-83.2195059,Inexpensive,3.5,tijuanas-mexican-kitchen-lincoln-park,matador-restaurant-taylor,la-hacienda-taylor-2,75,Mexican,Manuel’s Taco Hut,https://www.yelp.com/biz/manuels-taco-hut-allen-park?osq=food
302,,,,No,,,,,,,,,,,,,,9:00 am - 6:00 pm,,,,,,,,,,9:00 am - 6:00 pm,,,,,,9:00 am - 4:30 pm,,9:00 am - 6:00 pm,,,9:00 am - 6:00 pm,9:00 am - 6:00 pm,,9:00 am - 6:00 pm,Yes,,MI Detroit Downriver,Unclaimed,,new-delray-baking-company-taylor,42.199774,-83.229164,Inexpensive,3.5,hungarian-strudel-shop-allen-park,robertos-bakery-taylor,liberatis-italian-deli-and-bakery-allen-park,7,Bakeries,New Delray Baking Company,https://www.yelp.com/biz/new-delray-baking-company-taylor?osq=food
303,,,,Yes,,,,Casual,,,,,,,Yes,,,10:00 am - 10:00 pm,,,,Yes,Yes,,,,,10:00 am - 10:00 pm,,,,No,,10:00 am - 11:00 pm,,11:00 am - 8:00 pm,Yes,,10:00 am - 10:00 pm,10:00 am - 10:00 pm,,10:00 am - 10:00 pm,,,MI Detroit Downriver,Claimed,,mido-restaurant-taylor,42.2271628243559,-83.2314381748438,Inexpensive,4.5,,,,3,"Mediterranean,Burgers,Vegetarian",Mido Restaurant,https://www.yelp.com/biz/mido-restaurant-taylor?osq=food
304,,,,Yes,,FullBar,Divey,Casual,"Fri,Sat",Yes,,,,No,No,,No,10:00 am - 2:00 am,,,No,Yes,Yes,,Yes,,Yes,10:00 am - 2:00 am,JukeBox,Loud,,No,PrivateLot,10:00 am - 2:00 am,No,11:00 am - 2:00 am,Yes,No,10:00 am - 2:00 am,10:00 am - 2:00 am,,10:00 am - 2:00 am,,,MI Detroit Downriver,Unclaimed,,wheat-and-rye-allen-park,42.252277,-83.2160139,Moderate,4.0,millers-bar-dearborn,abicks-bar-detroit,airport-wheat-and-rye-romulus,26,"DiveBars,Burgers,Sandwiches",Wheat & Rye,https://www.yelp.com/biz/wheat-and-rye-allen-park?osq=food
305,,,,Yes,,FullBar,Intimate,Casual,,No,,,Yes,,No,,,11:30 am - 11:00 pm,,Dinner,,Yes,Yes,,,,Yes,11:30 am - 10:00 pm,,Average,,No,PrivateLot,4:00 pm - 11:00 pm,,Closed,Yes,Yes,11:30 am - 10:00 pm,11:30 am - 10:00 pm,Yes,11:30 am - 10:00 pm,Yes,,MI Detroit Downriver,Claimed,,sibley-gardens-trenton,42.1602502,-83.1743674,Moderate,4.0,portofino-wyandotte,smokies-tavern-wyandotte,moros-dining-allen-park,39,"Italian,Steakhouses,Seafood",Sibley Gardens,https://www.yelp.com/biz/sibley-gardens-trenton?osq=food
306,,,,Yes,,FullBar,Casual,Casual,,Yes,,,Yes,,Yes,,,11:30 am - 10:00 pm,,"Lunch,Dinner,LateNight",,Yes,Yes,,,,Yes,11:30 am - 9:30 pm,,Average,,No,PrivateLot,12:00 pm - 10:00 pm,,12:00 pm - 9:00 pm,Yes,Yes,11:30 am - 9:30 pm,Closed,Yes,11:30 am - 9:30 pm,Yes,Free,MI Detroit Downriver,Unclaimed,,cathay-house-restaurant-lincoln-park,42.2294538,-83.1940586,Moderate,3.5,new-canton-inn-melvindale,hong-kong-inn-lincoln-park,china-star-wyandotte,40,Chinese,Cathay House Restaurant,https://www.yelp.com/biz/cathay-house-restaurant-lincoln-park?osq=food
307,,No,,Yes,,No,Casual,Casual,,Yes,,,Yes,,No,,,11:00 am - 10:00 pm,,Dinner,,Yes,Yes,,,,No,11:00 am - 9:00 pm,,Quiet,,No,Street,12:00 pm - 10:00 pm,,4:00 pm - 9:00 pm,Yes,No,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,,No,MI Detroit Downriver,Claimed,,thai-vylai-allen-park,42.2584268,-83.2081043,Moderate,4.0,bangkok-96-restaurant-dearborn,thai-place-southgate,coastal-thai-wyandotte,82,Thai,Thai Vylai,https://www.yelp.com/biz/thai-vylai-allen-park?osq=food
310,No,No,,Yes,,FullBar,Casual,Casual,,Yes,,,No,,No,,No,11:00 am - 2:00 am,,Dinner,,Yes,Yes,,,,Yes,11:00 am - 11:00 pm,,Average,,Yes,PrivateLot,11:00 am - 2:00 am,,12:00 pm - 11:00 pm,Yes,Yes,11:00 am - 2:00 am,11:00 am - 11:00 pm,Yes,11:00 am - 11:00 pm,,Free,MI Detroit Downriver,Claimed,,rosie-o-gradys-southgate,42.1996382333859,-83.2112116334321,Moderate,3.0,midway-sports-and-entertainment-taylor,speed-boat-bar-and-grill-wyandotte,sports-brew-pub-wyandotte,50,"Pretzels,Burgers,Pizza",Rosie O’GRADY’S,https://www.yelp.com/biz/rosie-o-gradys-southgate?osq=food
312,,,,Yes,,FullBar,"Casual,Trendy",Casual,,No,,,,,No,,,11:00 am - 12:00 am,,Lunch,,No,No,,,,Yes,11:00 am - 10:00 pm,,Loud,,No,,11:00 am - 12:00 am,,11:00 am - 9:00 pm,Yes,No,11:00 am - 10:00 pm,11:00 am - 10:00 pm,Yes,11:00 am - 10:00 pm,,No,MI Detroit Downriver,Claimed,,griffs-gastropub-allen-park,42.256112,-83.1979756,Moderate,4.0,angelinas-mexican-restaurant-allen-park,katoi-detroit-3,major-tomato-allen-park,42,"Gastropubs,Sandwiches,American(Traditional)",Griff’s Gastropub,https://www.yelp.com/biz/griffs-gastropub-allen-park?osq=food
315,No,No,,Yes,,No,,Casual,,No,,,No,,No,,No,,,,,No,Yes,,,,No,,,Quiet,,Yes,,,,,Yes,No,,,No,,,No,MI Detroit Downriver,Unclaimed,,corridor-detroit,42.2288625158531,-83.3460172058045,Moderate,3.5,longhorn-steakhouse-detroit,andiamo-gate-a-30-romulus,,8,"Pizza,Burgers,Soup",Corridor,https://www.yelp.com/biz/corridor-detroit?osq=food
316,,,,Yes,,FullBar,,Casual,,,,,No,,No,,,,,,,Yes,Yes,,,,Yes,,,Quiet,,No,,,,,Yes,No,,,Yes,,,Free,MI Detroit Downriver,Unclaimed,,diegos-mexican-village-romulus,42.2047598698408,-83.3609725835001,Moderate,2.0,matador-restaurant-taylor,taqueria-san-jose-waterford-3,angelinas-mexican-restaurant-allen-park,39,Mexican,Diego’s Mexican Village,https://www.yelp.com/biz/diegos-mexican-village-romulus?osq=food
317,,,,Yes,,No,,Casual,,,,,Yes,,Yes,,,,,Lunch,,No,Yes,,,,No,,,Average,,No,PrivateLot,,,,Yes,No,,,No,,Yes,No,MI Detroit Downriver,Unclaimed,,sareinis-pizzaria-dearborn,42.2895667,-83.1702236,Inexpensive,3.5,arabian-village-restaurant-dearborn,ming-sun-restaurant-melvindale,gonellas-foods-detroit,7,Restaurants,Sareinis Pizzaria,https://www.yelp.com/biz/sareinis-pizzaria-dearborn?osq=food
318,,,,Yes,,FullBar,,Casual,,,,,,,Yes,,,11:00 am - 12:00 am,,,,Yes,No,,,,Yes,11:00 am - 12:00 am,,Average,,No,,11:00 am - 12:00 am,,12:00 pm - 12:00 am,Yes,No,11:00 am - 12:00 am,11:00 am - 12:00 am,Yes,11:00 am - 12:00 am,Yes,No,MI Detroit Downriver,Unclaimed,,airport-inn-grosse-ile,42.108094,-83.1603049,Moderate,3.0,jims-galley-rockwood,vreeland-market-woodhaven,dels-pizzeria-and-restaurant-trenton,11,Pizza,Airport Inn,https://www.yelp.com/biz/airport-inn-grosse-ile?osq=food
319,,,,Yes,,FullBar,,Casual,,No,,,,,No,,,,,,,Yes,Yes,,,,Yes,,,Loud,,No,,,,,Yes,Yes,,,Yes,,Yes,Free,MI Detroit Downriver,Unclaimed,,leons-family-dining-taylor,42.2448439,-83.2689027,Inexpensive,3.0,leons-family-dining-dearborn,the-original-philips-restaurant-taylor,taylors-kitchen-taylor,13,American(Traditional),Leon’s Family Dining,https://www.yelp.com/biz/leons-family-dining-taylor?osq=food
320,No,,,No,,No,,Casual,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,Quiet,,No,,,,,Yes,No,,,No,,,,MI Detroit Downriver,Claimed,,dominics-pizzeria-rockwood,42.0725185,-83.2457693,Inexpensive,3.5,marcos-pizza-rockwood,sportmans-pizzeria-wyandotte,papa-brunos-pizzeria-south-rockwood,7,Pizza,Dominic’s Pizzeria,https://www.yelp.com/biz/dominics-pizzeria-rockwood?osq=food
321,,,,Yes,,,,,,,,,,,,,,11:00 am - 10:30 pm,,,,No,,,,,No,11:00 am - 9:00 pm,,,,,,11:00 am - 10:30 pm,,12:00 pm - 9:00 pm,,,11:00 am - 9:00 pm,11:00 am - 9:00 pm,,11:00 am - 9:00 pm,,No,MI Detroit Downriver,Unclaimed,,the-zas-pizzeria-southgate,42.2081788105128,-83.2003906369301,Moderate,4.0,,,,5,Pizza,The Za’s Pizzeria,https://www.yelp.com/biz/the-zas-pizzeria-southgate?osq=food
322,,,,Yes,,No,,Casual,,Yes,,,Yes,,Yes,,,10:30 am - 9:00 pm,,,,Yes,Yes,,,,Yes,10:30 am - 8:00 pm,,Quiet,,Yes,,10:30 am - 9:00 pm,,Closed,Yes,No,10:30 am - 8:00 pm,10:30 am - 8:00 pm,No,10:30 am - 8:00 pm,,Free,MI Detroit Downriver,Claimed,,captain-nemos-sub-shop-wyandotte-2,42.1983657,-83.179592,Inexpensive,4.0,franks-pizzeria-and-restaurant-wyandotte,captain-nemos-submarine-sandwiches-belleville,sportmans-pizzeria-wyandotte,9,"Sandwiches,Salad,American(Traditional)",Captain Nemo’s Sub Shop,https://www.yelp.com/biz/captain-nemos-sub-shop-wyandotte-2?osq=food
323,,,,Yes,,No,Casual,Casual,,Yes,,,,,No,,No,11:00 am - 10:00 pm,,"Lunch,Dinner",,Yes,Yes,,,,No,11:00 am - 10:00 pm,,Loud,,No,PrivateLot,11:00 am - 10:00 pm,,11:00 am - 10:00 pm,Yes,No,11:00 am - 10:00 pm,11:00 am - 10:00 pm,No,11:00 am - 10:00 pm,,Free,MI Detroit Downriver,Claimed,,five-guys-burgers-and-fries-woodhaven,42.1390484,-83.2260583,Inexpensive,4.0,airport-wheat-and-rye-romulus,big-bear-lodge-flat-rock,howsa-bouta-old-tyme-burger-rockwood,20,"Burgers,FastFood",Five Guys Burgers and Fries,https://www.yelp.com/biz/five-guys-burgers-and-fries-woodhaven?osq=food
324,,,,Yes,,FullBar,Casual,Casual,,Yes,,,Yes,,Yes,,,9:00 am - 10:00 pm,,Dinner,,Yes,Yes,,,,Yes,9:00 am - 9:00 pm,,Average,,No,PrivateLot,9:00 am - 10:00 pm,,9:00 am - 9:00 pm,Yes,No,9:00 am - 9:00 pm,9:00 am - 9:00 pm,Yes,9:00 am - 9:00 pm,Yes,Free,MI Detroit Downriver,Claimed,,round-house-bbq-trenton,42.1414054,-83.177865,Moderate,3.5,zukins-rib-shack-lincoln-park,slows-bar-bq-detroit,texas-roadhouse-taylor,76,Barbeque,Round House BBQ,https://www.yelp.com/biz/round-house-bbq-trenton?osq=food
325,,,,Yes,,FullBar,Casual,Casual,,No,,,No,No,No,,,,,Breakfast,No,No,Yes,,No,No,Yes,,,Average,,No,,,No,,Yes,No,,,Yes,,,Free,MI Detroit Downriver,Unclaimed,,slapshotz-bar-and-grill-detroit,42.2056663317,-83.3599114021,Moderate,3.0,avenue-american-bistro-wayne,sporting-news-romulus,buffalo-wild-wings-woodhaven,62,"Bars,American(Traditional)",Slapshotz Bar & Grill,https://www.yelp.com/biz/slapshotz-bar-and-grill-detroit?osq=food
326,,No,No,Yes,,FullBar,Casual,Casual,,No,,,Yes,,Yes,No,,11:00 am - 11:00 pm,,"Lunch,Dinner",,Yes,Yes,,,,Yes,11:00 am - 10:00 pm,,Average,,No,PrivateLot,1:00 pm - 11:00 pm,,12:00 pm - 10:00 pm,Yes,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,Yes,11:00 am - 10:00 pm,Yes,Free,MI Detroit Downriver,Claimed,,pias-ristorante-taylor,42.256539,-83.243877,Moderate,3.5,roman-village-dearborn,moros-dining-allen-park,leonardos-italian-grille-romulus-2,63,"Pizza,Italian",Pia’s Ristorante,https://www.yelp.com/biz/pias-ristorante-taylor?osq=food
327,,,,Yes,,No,,Casual,,Yes,,,Yes,,No,,,6:00 am - 4:00 pm,,,,Yes,Yes,,,,Yes,6:00 am - 4:00 pm,,Average,,No,PrivateLot,6:00 am - 4:00 pm,,6:00 am - 4:00 pm,Yes,No,6:00 am - 4:00 pm,6:00 am - 4:00 pm,Yes,6:00 am - 4:00 pm,,No,MI Detroit Downriver,Claimed,,bills-ham-place-lincoln-park,42.2515304,-83.1802743,Inexpensive,4.5,kates-kitchen-flat-rock,the-original-philips-restaurant-taylor,nannas-kitchen-wyandotte,8,"Breakfast&Brunch,American(Traditional)",Bill’s Ham Place,https://www.yelp.com/biz/bills-ham-place-lincoln-park?osq=food
328,,No,,Yes,,No,Casual,Casual,,Yes,,,No,,No,,,Open 24 hours,,"Breakfast,Brunch,Lunch,Dinner,LateNight",,Yes,Yes,,,,Yes,Open 24 hours,,Average,,No,PrivateLot,Open 24 hours,,Open 24 hours,Yes,No,Open 24 hours,Open 24 hours,Yes,Open 24 hours,,No,MI Detroit Downriver,Unclaimed,,leos-coney-island-taylor,42.2354083,-83.2686608,Inexpensive,2.5,mykonos-taylor,the-original-philips-restaurant-taylor,hooters-taylor,32,"Greek,American(Traditional)",Leo’s Coney Island,https://www.yelp.com/biz/leos-coney-island-taylor?osq=food
329,,,,Yes,,No,,Casual,,Yes,,,Yes,,Yes,,,,,,,,Yes,,,,No,,,Quiet,,Yes,,,,,Yes,Yes,,,No,,,No,MI Detroit Downriver,Unclaimed,,toarminas-pizza-new-boston,42.163589,-83.4024699,Moderate,4.0,baldos-restaurant-brownstown,pizza-barn-romulus,dels-pizzeria-and-restaurant-trenton,9,Pizza,Toarmina’s Pizza,https://www.yelp.com/biz/toarminas-pizza-new-boston?osq=food
330,,,,,,,,Casual,,Yes,,,,,Yes,,,11:00 am - 12:00 pm,,,,Yes,Yes,,,,No,11:00 am - 10:00 pm,,,,No,,11:00 am - 12:00 pm,,12:00 pm - 10:00 pm,Yes,No,11:00 am - 10:00 pm,11:00 am - 10:00 pm,,11:00 am - 10:00 pm,,No,MI Detroit Downriver,Unclaimed,,jets-pizza-flat-rock,42.0995512017322,-83.2918475266756,Moderate,3.5,michaels-on-the-river-flat-rock,hungry-howies-pizza-flat-rock-2,tiffanys-pizza-flat-rock,5,Pizza,Jet’s Pizza,https://www.yelp.com/biz/jets-pizza-flat-rock?osq=food
331,,,,Yes,,FullBar,Casual,Casual,"Wed,Fri,Sat",Yes,,,No,No,No,,,11:30 am - 2:00 am,,"Lunch,Dinner",No,Yes,Yes,,Yes,,Yes,11:30 am - 11:00 pm,,Average,,Yes,"Street,PrivateLot",12:00 pm - 2:00 am,No,12:00 pm - 10:00 pm,Yes,No,11:30 am - 12:00 am,11:30 am - 12:00 am,Yes,11:30 am - 12:00 am,Yes,Free,MI Detroit Downriver,Unclaimed,,the-broadcast-booth-allen-park,42.2587987,-83.2081395,Moderate,2.0,dunleavys-allen-park,fort-street-brewery-lincoln-park,hops-and-barley-bar-and-grill-melvindale,57,"American(New),SportsBars",The Broadcast Booth,https://www.yelp.com/biz/the-broadcast-booth-allen-park?osq=food
332,,No,,Yes,,No,Casual,Casual,,Yes,,,No,,No,,,6:00 am - 9:00 pm,,Breakfast,,Yes,Yes,,,,No,6:00 am - 9:00 pm,,Average,,No,PrivateLot,6:00 am - 9:00 pm,,6:00 am - 9:00 pm,Yes,No,6:00 am - 9:00 pm,6:00 am - 9:00 pm,Yes,6:00 am - 9:00 pm,,No,MI Detroit Downriver,Claimed,,bizzy-bee-coney-island-southgate,42.2200777,-83.1816975,Inexpensive,3.5,romulus-house-restaurant-romulus,the-original-philips-restaurant-taylor,toast-ferndale,27,American(Traditional),Bizzy Bee Coney Island,https://www.yelp.com/biz/bizzy-bee-coney-island-southgate?osq=food
333,,,,Yes,,FullBar,Casual,Casual,"Mon,Thu",Yes,,,Yes,No,No,,,,,"Lunch,LateNight",No,Yes,Yes,,Yes,No,Yes,,,Loud,,Yes,PrivateLot,,No,,Yes,No,,,Yes,,,Free,MI Detroit Downriver,Claimed,,buffalo-wild-wings-woodhaven,42.1396553,-83.2349276,Moderate,3.0,three-hermanos-rockwood,p-t-christoffs-woodhaven,vreeland-market-woodhaven,35,"American(Traditional),ChickenWings,SportsBars",Buffalo Wild Wings,https://www.yelp.com/biz/buffalo-wild-wings-woodhaven?osq=food
335,,,,Yes,,FullBar,Classy,Casual,"Thu,Fri,Sat",Yes,,,Yes,No,No,No,,3:00 pm - 11:00 pm,,Dinner,No,Yes,Yes,,Yes,,Yes,Closed,Live,Average,,Yes,PrivateLot,3:00 pm - 11:00 pm,OutdoorArea/PatioOnly,Closed,Yes,Yes,3:00 pm - 11:00 pm,3:00 pm - 11:00 pm,Yes,3:00 pm - 11:00 pm,Yes,Free,MI Detroit Downriver,Claimed,,the-roc-flat-rock,42.0942332,-83.291329,Moderate,4.0,baldos-restaurant-brownstown,portofino-wyandotte,moros-dining-allen-park,12,"Italian,WineBars",The Roc,https://www.yelp.com/biz/the-roc-flat-rock?osq=food
336,,,,Yes,,FullBar,Casual,,,,,,,No,,,,,,,No,Yes,,,Yes,,Yes,,Live,Loud,,No,PrivateLot,,No,,,,,,,,,,MI Detroit Downriver,Unclaimed,,legends-1926-bar-and-grill-trenton,42.138579,-83.205387,Moderate,2.5,petes-garage-monroe,applebees-woodhaven,mallies-sports-grill-and-bar-southgate,8,SportsBars,Legends 1926 Bar and Grill,https://www.yelp.com/biz/legends-1926-bar-and-grill-trenton?osq=food
337,,,,Yes,,,,Casual,,,,,,,,,,9:00 am - 6:00 pm,,,,No,Yes,,,,,9:00 am - 6:00 pm,,,,,,9:00 am - 5:00 pm,,10:00 am - 3:00 pm,Yes,Yes,9:00 am - 6:00 pm,9:00 am - 6:00 pm,,9:00 am - 6:00 pm,,,MI Detroit Downriver,Unclaimed,,carlo-and-joes-deli-and-bakery-riverview,42.1555947379848,-83.2107843349457,Inexpensive,4.5,matis-deli-dearborn,v-gonellas-original-deli-dearborn,alcamos-market-dearborn,5,"Delis,Bakeries,Italian",Carlo & Joe’s Deli and Bakery,https://www.yelp.com/biz/carlo-and-joes-deli-and-bakery-riverview?osq=food
