AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AgesAllowed,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GenderNeutralRestrooms,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8:00 am - 10:00 pm,None,None,None,None,None,None,None,None,None,8:00 am - 10:00 pm,None,None,None,None,None,8:00 am - 10:00 pm,None,8:00 am - 10:00 pm,None,None,8:00 am - 10:00 pm,8:00 am - 10:00 pm,None,8:00 am - 10:00 pm,None,None,MI Detroit Bagley,Claimed,None,rite-aid-detroit-10,42.432159,-83.160669,None,None,cvs-pharmacy-detroit-5,cvs-pharmacy-detroit-38,None,None,None,Rite Aid,https://www.yelp.com/biz/rite-aid-detroit-10?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,10:30 am - 11:00 pm,None,None,None,None,None,None,None,None,None,10:30 am - 10:00 pm,None,None,None,None,None,10:30 am - 11:00 pm,None,11:00 am - 10:00 pm,None,None,10:30 am - 11:00 pm,10:30 am - 10:00 pm,None,10:30 am - 10:00 pm,None,Free,MI Detroit Bagley,Claimed,None,kfc-detroit-17,42.4312,-83.1599,None,None,lees-famous-recipe-chicken-plymouth,white-castle-detroit-8,chicken-shack-royal-oak,None,None,KFC,https://www.yelp.com/biz/kfc-detroit-17?osq=food
None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,9:00 am - 2:00 am,None,None,None,None,None,None,None,None,None,9:00 am - 2:00 am,None,None,None,None,None,9:00 am - 2:00 am,None,9:00 am - 2:00 am,None,None,9:00 am - 2:00 am,9:00 am - 2:00 am,None,9:00 am - 2:00 am,Yes,None,MI Detroit Bagley,Unclaimed,None,tradewinds-liquor-and-wine-shop-detroit,42.421073,-83.141321,2.0,4.5,merchants-fine-wine-dearborn,forest-liquor-detroit,cost-plus-wine-detroit,3,"Beer,Wine&Spirits",Tradewinds Liquor & Wine Shop,https://www.yelp.com/biz/tradewinds-liquor-and-wine-shop-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,diamite-products-detroit,42.424472,-83.151053,None,None,zerbos-health-foods-supermarket-livonia,natural-food-patch-ferndale,sprout-house-and-macrobiotics-grosse-pointe-park,None,None,Diamite Products,https://www.yelp.com/biz/diamite-products-detroit?osq=food
None,No,None,Yes,None,No,None,Casual,None,None,None,None,None,None,Yes,None,None,None,None,None,None,No,None,None,None,None,No,None,None,Loud,None,None,None,None,None,None,Yes,No,None,None,No,None,None,None,MI Detroit Bagley,Unclaimed,None,papas-pizza-and-bbq-detroit,42.4315236,-83.1460683,2.0,2.0,pizza-connection-hazel-park,amiccis-pizza-hamtramck,woodward-avenue-brewers-ferndale,5,"Pizza,Barbeque",Papa’s Pizza & Bbq,https://www.yelp.com/biz/papas-pizza-and-bbq-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,super-8-food-market-detroit,42.4457292,-83.1574074,None,None,None,None,None,None,None,Super-8 Food Market,https://www.yelp.com/biz/super-8-food-market-detroit?osq=food
None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,toms-liquor-palace-detroit,42.4414491,-83.141618,3.0,3.0,majestic-market-southfield,state-fair-supermarket-ferndale,kens-market-ferndale,3,"Beer,Wine&Spirits",Tom’s Liquor Palace,https://www.yelp.com/biz/toms-liquor-palace-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,super-fair-market-detroit,42.4315706,-83.1426566,None,None,None,None,None,None,None,Super Fair Market,https://www.yelp.com/biz/super-fair-market-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,als-party-store-detroit,42.4282953,-83.1415788,None,None,None,None,None,None,None,Al’s Party Store,https://www.yelp.com/biz/als-party-store-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,goodeez-etc-detroit,42.4263956,-83.1608101,None,None,None,None,None,None,None,Goodeez Etc,https://www.yelp.com/biz/goodeez-etc-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,nuwaubian-food-coop-detroit,42.4306482,-83.1418226,None,None,None,None,None,None,None,Nuwaubian Food-Coop,https://www.yelp.com/biz/nuwaubian-food-coop-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,bottoms-up-party-store-detroit,42.4457505,-83.15629,None,1.0,sav-on-birmingham-drugs-birmingham,trader-joes-royal-oak,holiday-market-royal-oak,1,"Beer,Wine&Spirits",Bottoms Up Party Store,https://www.yelp.com/biz/bottoms-up-party-store-detroit?osq=food
None,None,None,Yes,None,No,None,Casual,None,Yes,None,None,Yes,None,Yes,No,None,11:00 am - 11:00 pm,None,Lunch,None,Yes,Yes,None,None,None,Yes,11:00 am - 10:00 pm,None,None,None,No,Street,11:00 am - 11:00 pm,None,12:00 pm - 10:00 pm,Yes,No,11:00 am - 10:00 pm,11:00 am - 10:00 pm,No,11:00 am - 10:00 pm,Yes,No,MI Detroit Bagley,Claimed,None,jets-pizza-ferndale,42.4461715346,-83.1570820424,2.0,2.5,louis-pizza-hazel-park,pizza-connection-hazel-park,stop-spot-lounge-ferndale,34,"Pizza,Salad",Jet’s Pizza,https://www.yelp.com/biz/jets-pizza-ferndale?osq=food
None,None,None,Yes,None,No,None,Casual,None,None,None,None,Yes,None,No,None,None,None,None,None,None,No,Yes,None,None,None,No,None,None,Quiet,None,No,None,None,None,None,Yes,No,None,None,No,None,None,None,MI Detroit Bagley,Unclaimed,None,subway-ferndale-3,42.44611,-83.1550473,1.0,4.0,None,None,None,1,"Sandwiches,FastFood",Subway,https://www.yelp.com/biz/subway-ferndale-3?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,marys-place-detroit,42.432445,-83.155769,None,None,None,None,None,None,None,Mary’s Place,https://www.yelp.com/biz/marys-place-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,sheba-fish-and-seafood-company-detroit,42.4171218,-83.1435047,None,None,fresh-fish-house-detroit,None,None,None,None,Sheba Fish & Seafood Company,https://www.yelp.com/biz/sheba-fish-and-seafood-company-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,s-and-g-liquor-shop-detroit,42.4242526,-83.1607178,None,None,None,None,None,None,None,S & G Liquor Shop,https://www.yelp.com/biz/s-and-g-liquor-shop-detroit?osq=food
